recipe_id,length,sentiment,topics,persona_name,characteristics.age,characteristics.gender_identity,characteristics.occupation,characteristics.political_leaning,characteristics.communication_style,characteristics.core_motivation
rID_1049,Medium,Mixed,"['Healthcare & NHS', 'Transportation & Infrastructure']",The 'Progressive Activist' Student,19,Non-binary,University Student,"Very left-wing (Labour/Green), passionate about social justice and environmentalism.","Well-researched and emotionally charged, often referencing reports and articles.",A deep-seated belief in systemic change and holding power to account.
rID_1221,Medium,Very Positive,"['Taxation & Public Spending', 'Digital & Technology', 'Immigration & Asylum']",The 'Civic Pragmatist' Community Leader,45,Female,Charity Manager / Community Leader,"Politically centrist, pragmatic, and non-partisan in their community role.","Collaborative, solution-oriented, and professional.",Improving the local community and seeking partnership for practical outcomes.
rID_1248,Medium,Positive,"['Housing & Planning', 'Healthcare & NHS', 'Cost of Living & Economy']",The Long-Term Unemployed Individual,52,Male,Long-term unemployed,Feels abandoned by the system and has lost hope in politics.,Expresses a deep sense of despair and hopelessness.,A loss of all other avenues of support.
rID_247,Medium,Negative,['Agriculture & Rural Affairs'],The Environmental Scientist,45,Female,Scientist / Researcher,"Driven by scientific consensus, usually aligning with Green or left-wing parties.","Factual, evidence-based, professional, and urgent in tone.",A professional and moral duty to communicate the severity of the climate crisis to policymakers.
rID_690,Medium,Positive,['Social Security & Benefits'],The Single-Issue Campaigner,38,Female,Works Part-Time,"Varies depending on the issue, but highly engaged on that one topic.","Persistent, detailed, emotionally invested, and well-informed on their specific topic.","An intense personal or moral connection to a specific cause (e.g., animal welfare, health condition, local development)."
rID_174,Medium,Very Negative,['Justice & Legal System'],The Recent Immigrant,30,Female,"Varies (e.g., NHS worker, student)","Generally not yet engaged, focused on integration.","Polite, sometimes showing confusion with bureaucracy, and expresses a desire to contribute.",Navigating the complexities of the UK immigration system or seeking help with integration.
rID_733,Medium,Very Negative,['Energy & Utilities'],The Concerned Grandparent,75,Female,Retired,Tends to be socially conservative but concerned about public services; a swing voter.,"Heartfelt, expressing a mix of nostalgia and anxiety for the future.",Worry about the state of the country and the world being left for her grandchildren.
rID_609,Medium,Positive,['Mental Health Services'],The Trade Union Representative,48,Male,"Union Rep (e.g., in transport, manufacturing)",Strongly Labour.,"Formal, collective in nature ('on behalf of our members'), and firm.","Advocating for workers' rights, pay, and conditions."
rID_295,Medium,Very Positive,['Healthcare & NHS'],The Concerned Grandparent,75,Female,Retired,Tends to be socially conservative but concerned about public services; a swing voter.,"Heartfelt, expressing a mix of nostalgia and anxiety for the future.",Worry about the state of the country and the world being left for her grandchildren.
rID_696,Medium,Mixed,['Planning & Development'],The Single-Issue Campaigner,38,Female,Works Part-Time,"Varies depending on the issue, but highly engaged on that one topic.","Persistent, detailed, emotionally invested, and well-informed on their specific topic.","An intense personal or moral connection to a specific cause (e.g., animal welfare, health condition, local development)."
rID_321,Medium,Mixed,['Cost of Living & Economy'],The 'Disengaged Traditionalist',68,Female,Retired,Believes in traditional values but is generally suspicious and tired of all politics.,"Short, to the point, and written with a sense of duty rather than any real expectation of a result.",A specific local nuisance or a matter of principle has prompted a reluctant letter.
rID_511,Medium,Very Positive,['Pensions & National Insurance'],The Expat with a Problem,45,Female,"Varies (e.g., Teacher, Manager)","Varies, but engaged due to a specific bureaucratic hurdle.","Factual, seeks practical assistance, and can express frustration with bureaucracy.","Resolving a personal issue related to being a UK citizen living abroad (e.g., pensions, voting rights)."
rID_128,Medium,Positive,['Education & Schools'],The 'Progressive Activist' Student,19,Non-binary,University Student,"Very left-wing (Labour/Green), passionate about social justice and environmentalism.","Well-researched and emotionally charged, often referencing reports and articles.",A deep-seated belief in systemic change and holding power to account.
rID_1170,Medium,Positive,"['Immigration & Asylum', 'Disability Rights & Access']",The Local Journalist,33,Female,Journalist,Professionally impartial.,"Professional, inquisitive, direct, and often on a deadline.",Seeking comments and holding the MP accountable for local stories.
rID_802,Medium,Negative,['Immigration & Asylum'],The 'Well-Off Traditionalist' Landowner,65,Male,Landowner / Farmer,Staunchly Conservative.,"Formal, polite, and articulate.","Preserving the countryside, property rights, and traditional rural life."
rID_580,Medium,Positive,"[""Employment & Workers' Rights""]",The Small Business Owner,48,Male,Local Shop/Cafe Owner,"Politically fluid, votes based on policies affecting small businesses.","Direct, can show stress and frustration related to business pressures.",Survival and success of their business against economic pressures like business rates and regulations.
rID_1216,Medium,Mixed,"['Local Government & Council Tax', 'Childcare & Family Support', 'Mental Health Services']",The 'Backbone Conservative' Retiree,70,Male,Retired Small Business Owner,"Staunchly Conservative, believes in fiscal responsibility and traditional values.","Formal, direct, and expresses concern.",Preserving a way of life and ensuring financial prudence in government.
rID_1180,Short,Negative,"['Crime & Community Safety', 'Environment & Climate Change']",The Environmental Scientist,45,Female,Scientist / Researcher,"Driven by scientific consensus, usually aligning with Green or left-wing parties.","Factual, evidence-based, professional, and urgent in tone.",A professional and moral duty to communicate the severity of the climate crisis to policymakers.
rID_20,Medium,Very Negative,['Defence & National Security'],The Devout Religious Leader,50,Male,Vicar / Imam / Rabbi,"Varies, but often socially conservative with a focus on community cohesion and charity.","Respectful, guided by faith, and often appealing to the MP's moral compass.",Advocating for their religious community and promoting faith-based values in society.
rID_774,Medium,Very Positive,['Education & Schools'],The Adult with Learning Disabilities,29,Female,May be in supported employment or unemployed,Unlikely to be engaged in party politics.,"Simple, direct, and focused on immediate needs and rights; may have been written with help from a supporter.",Difficulty accessing services or exercising their rights.
rID_1112,Medium,Very Positive,"['Housing & Planning', 'Local Government & Council Tax']",The 'Loyal National' Brexiteer,60,Male,Skilled Tradesman,"Patriotic, firm believer in Brexit, distrustful of the 'establishment'.","Passionate, sometimes frustrated, and direct.",A strong sense of national sovereignty and a feeling of betrayal by political elites.
rID_858,Medium,Mixed,['Defence & National Security'],The Military Veteran,58,Male,Retired / Security work,"Tends to be patriotic and socially conservative, but critical of government support.","Direct, sometimes blunt, with a strong sense of entitlement to support.",A feeling of being let down by the system after serving the country.
rID_947,Long,Neutral,"['Crime & Community Safety', 'Justice & Legal System']",The Council Tenant Facing Eviction,48,Male,Unemployed or in precarious work,Likely Labour but feels let down by everyone.,"Emotional, desperate, and written in a state of crisis.",A last-ditch attempt to save their home.
rID_80,Long,Very Negative,['Education & Schools'],The Asylum Seeker,28,Male,Not permitted to work,"Entirely focused on their legal case, not party politics.","A desperate plea for help, often with assistance from a charity or legal aid.",A life-or-death situation concerning their asylum case or conditions in temporary accommodation.
rID_1191,Medium,Very Negative,"['Education & Schools', 'Animal Welfare', 'Taxation & Public Spending']",The 'Well-Off Traditionalist' Landowner,65,Male,Landowner / Farmer,Staunchly Conservative.,"Formal, polite, and articulate.","Preserving the countryside, property rights, and traditional rural life."
rID_841,Medium,Very Positive,['Education & Schools'],The Landlord,55,Male,Property Landlord,"Tends to be right-leaning, focused on property rights and minimal regulation.","Driven by financial self-interest, can be defensive in tone.",Protecting their investment and business interests from perceived hostile regulation.
rID_516,Medium,Very Positive,['Social Security & Benefits'],The 'Left-Behind Patriot' Factory Worker,50,Male,Factory Worker,Traditionally Labour but now politically homeless or leans towards populist right.,Expresses a tone of disillusionment and a sense of injustice; can be emotional.,A feeling that their community has been forgotten by politicians and a desire for secure employment.
rID_713,Short,Very Negative,['Crime & Community Safety'],The 'Urban Progressive' Tech Worker,32,Non-binary,Software Developer,"Strongly progressive, likely a Green or Labour voter.","Tech-savvy, often includes links to online campaigns, petitions, and social media.","Advocacy for progressive causes, digital rights, and modern social issues."
rID_484,Medium,Positive,['Childcare & Family Support'],The 'Well-Off Traditionalist' Landowner,65,Male,Landowner / Farmer,Staunchly Conservative.,"Formal, polite, and articulate.","Preserving the countryside, property rights, and traditional rural life."
rID_1156,Long,Neutral,"['Non-Actionable / Incoherent', 'Immigration & Asylum']",The 'Civic Pragmatist' Community Leader,45,Female,Charity Manager / Community Leader,"Politically centrist, pragmatic, and non-partisan in their community role.","Collaborative, solution-oriented, and professional.",Improving the local community and seeking partnership for practical outcomes.
rID_49,Medium,Positive,['Housing & Planning'],The 'Established Liberal' Professional,52,Male,Lawyer,"Socially liberal and economically centrist, likely a Liberal Democrat voter.","Articulate, well-reasoned, and focused on principles.","Upholding the rule of law, individual freedoms, and rational policymaking."
rID_840,Medium,Very Negative,['Pensions & National Insurance'],The 'Progressive Activist' Student,19,Non-binary,University Student,"Very left-wing (Labour/Green), passionate about social justice and environmentalism.","Well-researched and emotionally charged, often referencing reports and articles.",A deep-seated belief in systemic change and holding power to account.
rID_629,Short,Neutral,['Cost of Living & Economy'],The 'Loyal National' Brexiteer,60,Male,Skilled Tradesman,"Patriotic, firm believer in Brexit, distrustful of the 'establishment'.","Passionate, sometimes frustrated, and direct.",A strong sense of national sovereignty and a feeling of betrayal by political elites.
rID_706,Short,Positive,['Housing & Planning'],The Single-Issue Campaigner,38,Female,Works Part-Time,"Varies depending on the issue, but highly engaged on that one topic.","Persistent, detailed, emotionally invested, and well-informed on their specific topic.","An intense personal or moral connection to a specific cause (e.g., animal welfare, health condition, local development)."
rID_119,Medium,Negative,['Cost of Living & Economy'],The 'Gig Economy' Worker,26,Male,Delivery Driver / Freelancer,"Likely left-leaning, feels disenfranchised.","Often written late at night, expressing frustration with a lack of rights and security.",The precariousness of modern work and a desire for better employment rights.
rID_1218,Medium,Very Negative,"['Transportation & Infrastructure', 'Housing & Planning', 'Social Security & Benefits']",The Recent Immigrant,30,Female,"Varies (e.g., NHS worker, student)","Generally not yet engaged, focused on integration.","Polite, sometimes showing confusion with bureaucracy, and expresses a desire to contribute.",Navigating the complexities of the UK immigration system or seeking help with integration.
rID_500,Medium,Neutral,['Immigration & Asylum'],The Trade Union Representative,48,Male,"Union Rep (e.g., in transport, manufacturing)",Strongly Labour.,"Formal, collective in nature ('on behalf of our members'), and firm.","Advocating for workers' rights, pay, and conditions."
rID_607,Short,Very Positive,['Social Security & Benefits'],The 'Apolitical Centrist' Young Professional,28,Male,Finance/Tech Professional,"Not strongly aligned, economically right-leaning but socially liberal.","Concise, data-driven, and focused on practical solutions.","Concern for economic stability, housing affordability, and efficient public services."
rID_1243,Medium,Mixed,"['Cost of Living & Economy', 'Healthcare & NHS', 'Immigration & Asylum']",The Person in a Very Remote Rural Area,60,Female,Retired / Works from home,Tends to be self-reliant and skeptical of central government.,Polite but frustrated.,"A lack of basic services like broadband, public transport, or access to healthcare."
rID_1099,Short,Neutral,"['Healthcare & NHS', 'Environment & Climate Change']",The 'Soft-Left Liberal' Teacher,35,Female,Secondary School Teacher,"Centre-left, likely a Labour or Green voter.","Well-written, informed by professional experience, blending rational concern with emotional frustration.",A sense of duty to her students and the future of the education system.
rID_1053,Medium,Very Positive,"['Cost of Living & Economy', 'Planning & Development']",The Adult with Learning Disabilities,29,Female,May be in supported employment or unemployed,Unlikely to be engaged in party politics.,"Simple, direct, and focused on immediate needs and rights; may have been written with help from a supporter.",Difficulty accessing services or exercising their rights.
rID_518,Medium,Very Negative,['Housing & Planning'],The Arts Professional,41,Male,Works in a publicly funded theatre or gallery,Politically left-leaning.,"Articulate, passionate, and makes a case for the intrinsic value of culture.",Concern over arts funding cuts and the perceived devaluing of the cultural sector.
rID_1061,Medium,Neutral,"['Defence & National Security', 'Healthcare & NHS']",The Arts Professional,41,Male,Works in a publicly funded theatre or gallery,Politically left-leaning.,"Articulate, passionate, and makes a case for the intrinsic value of culture.",Concern over arts funding cuts and the perceived devaluing of the cultural sector.
rID_564,Medium,Neutral,['Planning & Development'],The 'Soft-Left Liberal' Teacher,35,Female,Secondary School Teacher,"Centre-left, likely a Labour or Green voter.","Well-written, informed by professional experience, blending rational concern with emotional frustration.",A sense of duty to her students and the future of the education system.
rID_1149,Medium,Very Negative,"['Cost of Living & Economy', 'Agriculture & Rural Affairs']",The Asylum Seeker,28,Male,Not permitted to work,"Entirely focused on their legal case, not party politics.","A desperate plea for help, often with assistance from a charity or legal aid.",A life-or-death situation concerning their asylum case or conditions in temporary accommodation.
rID_1201,Medium,Very Negative,"['Planning & Development', 'Taxation & Public Spending', 'Energy & Utilities']",The 'Progressive Activist' Student,19,Non-binary,University Student,"Very left-wing (Labour/Green), passionate about social justice and environmentalism.","Well-researched and emotionally charged, often referencing reports and articles.",A deep-seated belief in systemic change and holding power to account.
rID_303,Long,Negative,['Immigration & Asylum'],The Recent Immigrant,30,Female,"Varies (e.g., NHS worker, student)","Generally not yet engaged, focused on integration.","Polite, sometimes showing confusion with bureaucracy, and expresses a desire to contribute.",Navigating the complexities of the UK immigration system or seeking help with integration.
rID_99,Medium,Negative,['Non-Actionable / Incoherent'],The 'Backbone Conservative' Retiree,70,Male,Retired Small Business Owner,"Staunchly Conservative, believes in fiscal responsibility and traditional values.","Formal, direct, and expresses concern.",Preserving a way of life and ensuring financial prudence in government.
rID_1116,Medium,Mixed,"['Transportation & Infrastructure', 'Crime & Community Safety']",The 'Backbone Conservative' Retiree,70,Male,Retired Small Business Owner,"Staunchly Conservative, believes in fiscal responsibility and traditional values.","Formal, direct, and expresses concern.",Preserving a way of life and ensuring financial prudence in government.
rID_311,Short,Mixed,['Cost of Living & Economy'],The 'Backbone Conservative' Retiree,70,Male,Retired Small Business Owner,"Staunchly Conservative, believes in fiscal responsibility and traditional values.","Formal, direct, and expresses concern.",Preserving a way of life and ensuring financial prudence in government.
rID_634,Medium,Very Positive,['Cost of Living & Economy'],The 'Backbone Conservative' Retiree,70,Male,Retired Small Business Owner,"Staunchly Conservative, believes in fiscal responsibility and traditional values.","Formal, direct, and expresses concern.",Preserving a way of life and ensuring financial prudence in government.
rID_205,Short,Very Positive,['Healthcare & NHS'],The 'Progressive Activist' Student,19,Non-binary,University Student,"Very left-wing (Labour/Green), passionate about social justice and environmentalism.","Well-researched and emotionally charged, often referencing reports and articles.",A deep-seated belief in systemic change and holding power to account.
rID_1084,Medium,Very Positive,"['Non-Actionable / Incoherent', 'Energy & Utilities']",The Person with a Rare Disease,34,Female,Unable to work due to illness,Becomes an expert in health policy related to her condition.,"Well-researched, articulate, and a desperate plea for help.",Struggling to get the right treatment and support from the NHS for a rare condition.
rID_1,Long,Very Negative,['Planning & Development'],The PhD Student Researching Politics,27,Male,PhD Student,"Academically interested, likely left-leaning.","Academic, formal, and seeks specific information or an interview.",Contacting the MP as a subject of political research.
rID_1018,Medium,Mixed,"['Defence & National Security', 'Disability Rights & Access']",The Long-Term Unemployed Individual,52,Male,Long-term unemployed,Feels abandoned by the system and has lost hope in politics.,Expresses a deep sense of despair and hopelessness.,A loss of all other avenues of support.
rID_216,Medium,Negative,['Environment & Climate Change'],The Single-Issue Campaigner,38,Female,Works Part-Time,"Varies depending on the issue, but highly engaged on that one topic.","Persistent, detailed, emotionally invested, and well-informed on their specific topic.","An intense personal or moral connection to a specific cause (e.g., animal welfare, health condition, local development)."
rID_1115,Medium,Positive,"['Pensions & National Insurance', 'Environment & Climate Change']",The 'Well-Off Traditionalist' Landowner,65,Male,Landowner / Farmer,Staunchly Conservative.,"Formal, polite, and articulate.","Preserving the countryside, property rights, and traditional rural life."
rID_1246,Short,Very Positive,"['Education & Schools', 'Local Government & Council Tax', 'Planning & Development']",The 'Civic Pragmatist' Community Leader,45,Female,Charity Manager / Community Leader,"Politically centrist, pragmatic, and non-partisan in their community role.","Collaborative, solution-oriented, and professional.",Improving the local community and seeking partnership for practical outcomes.
rID_1031,Medium,Positive,"['Education & Schools', 'Disability Rights & Access']",The Devout Religious Leader,50,Male,Vicar / Imam / Rabbi,"Varies, but often socially conservative with a focus on community cohesion and charity.","Respectful, guided by faith, and often appealing to the MP's moral compass.",Advocating for their religious community and promoting faith-based values in society.
rID_451,Medium,Mixed,"[""Employment & Workers' Rights""]",The Military Veteran,58,Male,Retired / Security work,"Tends to be patriotic and socially conservative, but critical of government support.","Direct, sometimes blunt, with a strong sense of entitlement to support.",A feeling of being let down by the system after serving the country.
rID_411,Medium,Neutral,['Defence & National Security'],The PhD Student Researching Politics,27,Male,PhD Student,"Academically interested, likely left-leaning.","Academic, formal, and seeks specific information or an interview.",Contacting the MP as a subject of political research.
rID_898,Medium,Positive,"['Mental Health Services', 'Crime & Community Safety']",The 'Progressive Activist' Student,19,Non-binary,University Student,"Very left-wing (Labour/Green), passionate about social justice and environmentalism.","Well-researched and emotionally charged, often referencing reports and articles.",A deep-seated belief in systemic change and holding power to account.
rID_123,Medium,Mixed,['Housing & Planning'],The 'Civic Pragmatist' Community Leader,45,Female,Charity Manager / Community Leader,"Politically centrist, pragmatic, and non-partisan in their community role.","Collaborative, solution-oriented, and professional.",Improving the local community and seeking partnership for practical outcomes.
rID_1206,Short,Positive,"['Agriculture & Rural Affairs', 'Energy & Utilities', 'Healthcare & NHS']",The Trade Union Representative,48,Male,"Union Rep (e.g., in transport, manufacturing)",Strongly Labour.,"Formal, collective in nature ('on behalf of our members'), and firm.","Advocating for workers' rights, pay, and conditions."
rID_935,Medium,Very Positive,"['Social Security & Benefits', 'Healthcare & NHS']",The 'Loyal National' Brexiteer,60,Male,Skilled Tradesman,"Patriotic, firm believer in Brexit, distrustful of the 'establishment'.","Passionate, sometimes frustrated, and direct.",A strong sense of national sovereignty and a feeling of betrayal by political elites.
rID_660,Medium,Mixed,"[""Employment & Workers' Rights""]",The 'Apolitical Centrist' Young Professional,28,Male,Finance/Tech Professional,"Not strongly aligned, economically right-leaning but socially liberal.","Concise, data-driven, and focused on practical solutions.","Concern for economic stability, housing affordability, and efficient public services."
rID_45,Medium,Positive,['Justice & Legal System'],The Landlord,55,Male,Property Landlord,"Tends to be right-leaning, focused on property rights and minimal regulation.","Driven by financial self-interest, can be defensive in tone.",Protecting their investment and business interests from perceived hostile regulation.
rID_1182,Medium,Neutral,"['Business & Enterprise', 'Digital & Technology']",The Local Journalist,33,Female,Journalist,Professionally impartial.,"Professional, inquisitive, direct, and often on a deadline.",Seeking comments and holding the MP accountable for local stories.
rID_259,Medium,Very Positive,['Digital & Technology'],The 'Backbone Conservative' Retiree,70,Male,Retired Small Business Owner,"Staunchly Conservative, believes in fiscal responsibility and traditional values.","Formal, direct, and expresses concern.",Preserving a way of life and ensuring financial prudence in government.
rID_648,Medium,Mixed,['Immigration & Asylum'],The Person with No Fixed Abode,35,Male,Homeless,Completely disenfranchised.,"Sent from a library or a friend's phone, focused and direct about a fundamental need.","A matter of survival, such as access to shelter, food, or services."
rID_357,Medium,Very Negative,['Housing & Planning'],The 'Well-Off Traditionalist' Landowner,65,Male,Landowner / Farmer,Staunchly Conservative.,"Formal, polite, and articulate.","Preserving the countryside, property rights, and traditional rural life."
rID_523,Medium,Positive,['Disability Rights & Access'],The Person in a Very Remote Rural Area,60,Female,Retired / Works from home,Tends to be self-reliant and skeptical of central government.,Polite but frustrated.,"A lack of basic services like broadband, public transport, or access to healthcare."
rID_408,Medium,Very Negative,['Planning & Development'],The Young Person in the Care System,19,Female,Care Leaver,Distrustful of authority figures and the 'system'.,A powerful and emotional personal testimony of her experiences.,A feeling of being let down by the care system and a desire for change for others.
rID_346,Medium,Negative,['Social Security & Benefits'],The Local Journalist,33,Female,Journalist,Professionally impartial.,"Professional, inquisitive, direct, and often on a deadline.",Seeking comments and holding the MP accountable for local stories.
rID_1135,Medium,Positive,"['Pensions & National Insurance', 'Healthcare & NHS']",The 'Backbone Conservative' Retiree,70,Male,Retired Small Business Owner,"Staunchly Conservative, believes in fiscal responsibility and traditional values.","Formal, direct, and expresses concern.",Preserving a way of life and ensuring financial prudence in government.
rID_1028,Medium,Neutral,"['Energy & Utilities', 'Planning & Development']",The Single-Issue Campaigner,38,Female,Works Part-Time,"Varies depending on the issue, but highly engaged on that one topic.","Persistent, detailed, emotionally invested, and well-informed on their specific topic.","An intense personal or moral connection to a specific cause (e.g., animal welfare, health condition, local development)."
rID_632,Short,Mixed,['Transportation & Infrastructure'],The Concerned Grandparent,75,Female,Retired,Tends to be socially conservative but concerned about public services; a swing voter.,"Heartfelt, expressing a mix of nostalgia and anxiety for the future.",Worry about the state of the country and the world being left for her grandchildren.
rID_703,Medium,Neutral,['Environment & Climate Change'],The 'Civic Pragmatist' Community Leader,45,Female,Charity Manager / Community Leader,"Politically centrist, pragmatic, and non-partisan in their community role.","Collaborative, solution-oriented, and professional.",Improving the local community and seeking partnership for practical outcomes.
rID_365,Medium,Very Negative,"[""Employment & Workers' Rights""]",The 'Left-Behind Patriot' Factory Worker,50,Male,Factory Worker,Traditionally Labour but now politically homeless or leans towards populist right.,Expresses a tone of disillusionment and a sense of injustice; can be emotional.,A feeling that their community has been forgotten by politicians and a desire for secure employment.
rID_432,Long,Negative,['Pensions & National Insurance'],The Local Journalist,33,Female,Journalist,Professionally impartial.,"Professional, inquisitive, direct, and often on a deadline.",Seeking comments and holding the MP accountable for local stories.
rID_1161,Medium,Very Negative,"['Cost of Living & Economy', 'Social Security & Benefits']",The 'Civic Pragmatist' Community Leader,45,Female,Charity Manager / Community Leader,"Politically centrist, pragmatic, and non-partisan in their community role.","Collaborative, solution-oriented, and professional.",Improving the local community and seeking partnership for practical outcomes.
rID_517,Medium,Very Negative,['Local Government & Council Tax'],The Agricultural Worker,25,Male,Seasonal / Migrant Farm Worker,Often unaware of political rights or too precarious to engage.,"May be in hesitant or broken English, direct and factual about their situation.","Experiencing exploitation, poor living conditions, or issues with pay."
rID_501,Medium,Negative,['Healthcare & NHS'],The 'Gig Economy' Worker,26,Male,Delivery Driver / Freelancer,"Likely left-leaning, feels disenfranchised.","Often written late at night, expressing frustration with a lack of rights and security.",The precariousness of modern work and a desire for better employment rights.
rID_304,Medium,Negative,['Cost of Living & Economy'],The Apathetic Teenager,18,Male,Student / Unemployed,Low interest and knowledge of politics.,"Very informal, uses slang, may be very short.","A very specific, personal, and immediate issue (e.g., closure of a local skatepark)."
rID_5,Medium,Mixed,"[""Employment & Workers' Rights""]",The 'Civic Pragmatist' Community Leader,45,Female,Charity Manager / Community Leader,"Politically centrist, pragmatic, and non-partisan in their community role.","Collaborative, solution-oriented, and professional.",Improving the local community and seeking partnership for practical outcomes.
rID_423,Medium,Mixed,['Transportation & Infrastructure'],The University Lecturer,55,Male,Academic,Typically left-leaning.,"Well-structured, analytical, and provides broader historical or theoretical context.","Advocacy for higher education, academic freedom, and evidence-based policy."
rID_47,Medium,Negative,['Non-Actionable / Incoherent'],The Concerned Grandparent,75,Female,Retired,Tends to be socially conservative but concerned about public services; a swing voter.,"Heartfelt, expressing a mix of nostalgia and anxiety for the future.",Worry about the state of the country and the world being left for her grandchildren.
rID_1184,Medium,Very Positive,"['Housing & Planning', 'Foreign Affairs & International Development']",The 'Backbone Conservative' Retiree,70,Male,Retired Small Business Owner,"Staunchly Conservative, believes in fiscal responsibility and traditional values.","Formal, direct, and expresses concern.",Preserving a way of life and ensuring financial prudence in government.
rID_428,Medium,Negative,['Environment & Climate Change'],The 'Soft-Left Liberal' Teacher,35,Female,Secondary School Teacher,"Centre-left, likely a Labour or Green voter.","Well-written, informed by professional experience, blending rational concern with emotional frustration.",A sense of duty to her students and the future of the education system.
rID_249,Medium,Negative,"['Culture, Media & Sport']",The Zero-Hours Contract Worker,22,Female,Hospitality / Warehouse Worker,Likely left-leaning but too exhausted or precarious to be an activist.,"Direct, factual, and outlining a specific injustice.","A direct injustice experienced at work (e.g., shifts cancelled at no notice, lack of sick pay)."
rID_1138,Medium,Positive,"['Healthcare & NHS', 'Immigration & Asylum']",The NHS Doctor,42,Female,General Practitioner,"Not overtly political, but experiences drive centre-left concerns.","Professional, evidence-based, and conveys a sense of urgency and moral responsibility.",A deep concern for the state of the National Health Service and patient welfare.
rID_396,Medium,Neutral,['Taxation & Public Spending'],The Asylum Seeker,28,Male,Not permitted to work,"Entirely focused on their legal case, not party politics.","A desperate plea for help, often with assistance from a charity or legal aid.",A life-or-death situation concerning their asylum case or conditions in temporary accommodation.
rID_338,Medium,Very Positive,['Non-Actionable / Incoherent'],The NHS Doctor,42,Female,General Practitioner,"Not overtly political, but experiences drive centre-left concerns.","Professional, evidence-based, and conveys a sense of urgency and moral responsibility.",A deep concern for the state of the National Health Service and patient welfare.
rID_1035,Medium,Mixed,"['Environment & Climate Change', 'Disability Rights & Access']",The Trade Union Representative,48,Male,"Union Rep (e.g., in transport, manufacturing)",Strongly Labour.,"Formal, collective in nature ('on behalf of our members'), and firm.","Advocating for workers' rights, pay, and conditions."
rID_373,Short,Neutral,['Crime & Community Safety'],The Trade Union Representative,48,Male,"Union Rep (e.g., in transport, manufacturing)",Strongly Labour.,"Formal, collective in nature ('on behalf of our members'), and firm.","Advocating for workers' rights, pay, and conditions."
rID_260,Medium,Neutral,['Consumer Rights & Issues'],The Devout Religious Leader,50,Male,Vicar / Imam / Rabbi,"Varies, but often socially conservative with a focus on community cohesion and charity.","Respectful, guided by faith, and often appealing to the MP's moral compass.",Advocating for their religious community and promoting faith-based values in society.
rID_285,Medium,Very Positive,['Business & Enterprise'],The 'Progressive Activist' Student,19,Non-binary,University Student,"Very left-wing (Labour/Green), passionate about social justice and environmentalism.","Well-researched and emotionally charged, often referencing reports and articles.",A deep-seated belief in systemic change and holding power to account.
rID_952,Medium,Mixed,"['Non-Actionable / Incoherent', 'Immigration & Asylum']",The 'Established Liberal' Professional,52,Male,Lawyer,"Socially liberal and economically centrist, likely a Liberal Democrat voter.","Articulate, well-reasoned, and focused on principles.","Upholding the rule of law, individual freedoms, and rational policymaking."
rID_697,Medium,Positive,['Defence & National Security'],The 'Well-Off Traditionalist' Landowner,65,Male,Landowner / Farmer,Staunchly Conservative.,"Formal, polite, and articulate.","Preserving the countryside, property rights, and traditional rural life."
rID_610,Medium,Very Negative,['Foreign Affairs & International Development'],The 'Progressive Activist' Student,19,Non-binary,University Student,"Very left-wing (Labour/Green), passionate about social justice and environmentalism.","Well-researched and emotionally charged, often referencing reports and articles.",A deep-seated belief in systemic change and holding power to account.
rID_1090,Medium,Very Negative,"['Disability Rights & Access', 'Energy & Utilities']",The Person with a Rare Disease,34,Female,Unable to work due to illness,Becomes an expert in health policy related to her condition.,"Well-researched, articulate, and a desperate plea for help.",Struggling to get the right treatment and support from the NHS for a rare condition.
rID_920,Medium,Very Positive,"[""Employment & Workers' Rights"", 'Immigration & Asylum']",The Carer for a Disabled Family Member,55,Female,Full-time Unpaid Carer,"No time for politics, but experiences make her critical of social care funding.","Tired, frustrated, but articulate about the failings of the support system.",The failure of other support systems has left her with no other choice but to contact her MP.
rID_829,Long,Very Positive,['Cost of Living & Economy'],The Small Business Owner,48,Male,Local Shop/Cafe Owner,"Politically fluid, votes based on policies affecting small businesses.","Direct, can show stress and frustration related to business pressures.",Survival and success of their business against economic pressures like business rates and regulations.
rID_37,Medium,Very Negative,['Cost of Living & Economy'],The 'Backbone Conservative' Retiree,70,Male,Retired Small Business Owner,"Staunchly Conservative, believes in fiscal responsibility and traditional values.","Formal, direct, and expresses concern.",Preserving a way of life and ensuring financial prudence in government.
rID_7,Medium,Positive,['Cost of Living & Economy'],The Asylum Seeker,28,Male,Not permitted to work,"Entirely focused on their legal case, not party politics.","A desperate plea for help, often with assistance from a charity or legal aid.",A life-or-death situation concerning their asylum case or conditions in temporary accommodation.
rID_366,Medium,Very Negative,['Immigration & Asylum'],The Environmental Scientist,45,Female,Scientist / Researcher,"Driven by scientific consensus, usually aligning with Green or left-wing parties.","Factual, evidence-based, professional, and urgent in tone.",A professional and moral duty to communicate the severity of the climate crisis to policymakers.
rID_808,Medium,Very Negative,['Cost of Living & Economy'],The Small Business Owner,48,Male,Local Shop/Cafe Owner,"Politically fluid, votes based on policies affecting small businesses.","Direct, can show stress and frustration related to business pressures.",Survival and success of their business against economic pressures like business rates and regulations.
